Item Code,Description
T14,"DISCONTINUED as of 2022, see T18 (Formerly: Tax - Pari-mutuels)"
T15,Tax - Public Utilities
T16,Tax - Tobacco Sales
T18,Tax - Sports betting (including pari-mutuels) (EFFECTIVE 2023)
T19,Tax - Other Selective Sales
T20,Tax - Alcoholic Beverage License
T21,Tax - Amusement License
T22,Tax - Corporation License
T23,Tax - Hunting & Fishing License
T24,Tax - Motor Vehicle License
T25,Tax - Motor Vehicle Operators License
T27,Tax - Public Utility License
T28,"Tax - Occupation & Business License, NEC"
T29,Tax - Other License
T40,Tax - Individual Income
T41,Tax - Corporation Net Income
T50,Tax - Death & Gift
T51,Tax - Documentary & Stock Transfer
T53,Tax - Severance
T99,Tax - NEC
U01,Miscellaneous - Special Assessments
U11,Miscellaneous - Property Sale Other
U20,Miscellaneous - Interest Earnings
U21,Miscellaneous - Other Dividends (New for 2005)
U30,Miscellaneous - Fines & Forfeits
U40,Miscellaneous - Rents
U41,Miscellaneous - Royalties
U50,Miscellaneous - Donations From Private Sources
U95,Miscellaneous - Net Lottery Revenue
U99,"Miscellaneous - General Revenue, NEC"
W01,DISCONTINUED as of 2022 (Formerly: Sinking Fund - Cash & Deposits)
W31,DISCONTINUED as of 2022 (Formerly: Bond Fund - Cash & Deposits)
W61,DISCONTINUED as of 2022 (Formerly: Other Funds - Cash & Deposits)
X01,Total Earnings on Investments (EFFECTIVE 2017) (Formerly: Employee Pensions Receipts - Local Employee Contribution)
X02,DISCONTINUED as of 2017 (Formerly: Employee Pensions Receipts - State Employee Contribution)
X05,DISCONTINUED as of 2017 (Formerly: Employee Pensions Receipts - Contributions from Local Government)
X06,DISCONTINUED as of 2017 (Formerly: Employee Pensions Receipts - State Government Contributions to Own State System
X08,DISCONTINUED as of 2017 (Formerly: Employee Pensions Receipts - Total Earnings on Investments)
X11,DISCONTINUED as of 2017 (Formerly: Employee Pensions Expenses - Benefit Payments)
X12,DISCONTINUED as of 2017 (Formerly: Employee Pensions Expenses - Withdrawals)
X21,DISCONTINUED as of 2017 (Formerly: Employee Pensions - Total Cash & Deposits)
X30,DISCONTINUED as of 2012; Employee Pensions - Total Federal Securities
X33,"DISCONTINUED as of 2017 (Formerly: Employee Pensions - Federal Agency Securities: Bonds and Mortgage-Backed Securities Issued by CCC, Export-Import Bank, FHA, GNMA, Postal Service, and TVA)"
X35,"DISCONTINUED as of 2017 (Formerly: Employee Pensions - Other Investments, State and Local Government Securities)"
X40,"Total Benefits Paid (EFFECTIVE 2017)
DISCONTINUED as of 2002; see Z77 (Formerly: Employee Pensions - Securities - Corporate Bonds (Book Value))"
X41,DISCONTINUED as of 2002; see Z78 (Formerly: Employee Pensions - Securities - Corporate Stocks (Book Value))
X42,"DISCONTINUED as of 2017 (Formerly: Employee Pensions - Securities, Mortgages)"
X44,DISCONTINUED as of 2012; Employee Pensions - Total Other Securities
X47,"DISCONTINUED as of 2017 (Formerly: Employee Pensions - Other Investments, Other)"
X50,Total Employee Contributions (EFFECTIVE 2017)
X70,Total Government Contributions (State System) (EFFECTIVE 2017)
X80,Withdrawals (EFFECTIVE 2017)
Y01,Unemployment Compensation - Contribution
Y02,Unemployment Compensation - Interest Revenue
Y04,Unemployment Compensation - Federal Advances
Y05,Unemployment Compensation - Benefit Payments
Y06,Unemployment Compensation - Extended & Special Payments
Y07,Unemployment Compensation - Balance In US Treasury
Y08,Unemployment Compensation - Other Balance (+ or-)
Y10,Workers Compensation - Own Contribution
Y11,Workers Compensation - Other Contributions
Y12,Workers Compensation - Interest Earnings
Y13,Workers Compensation - Other Investment Earnings (unused since 1994)
Y14,Workers Compensation - Benefit Payments
Y15,Workers Compensation - Other Payments
Y21,Workers Compensation - Cash & Assets
Y50,Other Insurance Trust - Own Contributions
Y51,Other Insurance Trust - Other Contributions
Y52,Other Insurance Trust - Interest Revenue
Y53,Other Insurance Trust - Benefit Payment
Y54,Other Insurance Trust - Other Payments
Y55,Other Insurance Trust - Other Investments (unused since 1977)
Y61,Other Insurance Trust - Cash & Deposits
Z00,Total Salaries & Wages
Z41,Liquor Stores - Net Sales
Z42,Liquor Stores Exhibit - Cost of Goods
Z43,Liquor Stores Exhibit - Operating Expenditures
Z44,Liquor Stores Exhibit - Other Income
Z45,Liquor Stores Exhibit - Non-operating Expenditures
Z46,Liquor Stores Exhibit - Transfer to General Funds
Z47,Liquor Stores Exhibit - License & Enforcement
Z48,Liquor Stores Exhibit - Liquor Taxes
Z51,Lotteries Exhibit - Ticket Sales
Z52,Lotteries Exhibit - Prizes
Z53,Lotteries Exhibit - Administrative Expenditures
Z54,Lotteries Exhibit - Proceeds
Z61,DISCONTINUED as of 2005 (Formerly: Transit Subsidy Contribution)
Z62,"DISCONTINUED as of 2017 (Formerly: Employee Pensions - Federally Sponsored Agencies: Bonds and Mortgage-Backed Securities Issued by FHLB, FHLMC, FNMA, and Farm Credit Banks)"
Z63,"DISCONTINUED as of 2017 (Formerly: Employee Pensions - Corporate Bonds, Domestic)"
Z70,DISCONTINUED as of 2017 (Formerly: Employee Pensions - Foreign and International Stocks and Bonds)
Z77,DISCONTINUED as of 2012; Employee Pensions - Corporate Bonds (market value) (NEW as of 2002)
Z78,DISCONTINUED as of 2017 (Formerly: Employee Pensions - Corporate Stocks (market value) (NEW as of 2002))
Z83,DISCONTINUED as of 2017 (Formerly: Employee Pensions - Other Securities)
Z84,DISCONTINUED as of 2017 (Formerly: Employee Pensions - Investments Held in Trust by Other Agencies)
Z89,DISCONTINUED as of 2017 (Formerly: Employee Pensions - Federal Treasury Securities: Obligations of the U.S. Treasury and Federal Financing Bank)
19H,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Beginning Outstanding, Education, NEC)"
19X,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Beginning Outstanding, NEC)"
19T,"DISCONTINUED as of 2022; Debt not meeting the definition of conduit debt will be coded as U debt, conduit debt will not.
(Formerly: Long Term Debt Beginning, Nonguaranteed - Public Debt for Private Purpose)"
19U,Long Term Debt Beginning - Unspecified Public Purposes (NEW as of 2005)
21A,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue - Full Faith & Credit, Water Utilities)"
21B,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue - Full Faith & Credit, Electric Utilities)"
21C,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue - Full Faith & Credit, Gas Utilities)"
21D,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue - Full Faith & Credit, Transit Utilities)"
21F,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue - Full Faith & Credit, Elementary & Secondary Education)"
21G,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue - Full Faith & Credit, Higher Education)"
21X,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue - Full Faith & Credit, Other NEC)"
24A,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue, Nonguaranteed - Water Utilities)"
24B,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue, Nonguaranteed - Electric Utilities)"
24C,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue, Nonguaranteed - Gas Utilities)"
24D,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue, Nonguaranteed - Transit Utilities)"
24F,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue, Nonguaranteed - Elementary and Secondary Education)"
24G,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue, Nonguaranteed - Higher Education)"
24T,"DISCONTINUED as of 2022; Debt not meeting the definition of conduit debt will be coded as U debt, conduit debt will not.
(Formerly: Long Term Debt Issue, Nonguaranteed - Public Debt for Private Purposes)"
24X,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Issue, Nonguaranteed - Other NEC)"
29U,Long Term Debt Issue - Unspecified Public Purposes (NEW as of 2005)
31A,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired - Full Faith & Credit, Water Utilities)"
31B,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired - Full Faith & Credit, Electric Utilities)"
31C,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired - Full Faith & Credit, Gas Utilities)"
31D,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired - Full Faith & Credit, Transit Utilities)"
31F,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired - Full Faith & Credit, Elementary & Secondary Education)"
31G,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired - Full Faith & Credit, Higher Education)"
31X,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired - Full Faith & Credit, Other NEC)"
34A,DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired Nonguaranteed - Water Utilities)
34B,DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired Nonguaranteed - Electric Utilities)
34C,DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired Nonguaranteed - Gas Utilities)
34D,DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired Nonguaranteed - Transit Utilities)
34F,DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired Nonguaranteed - Elementary and Secondary Education)
34G,DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired Nonguaranteed - Higher Education)
34T,"DISCONTINUED as of 2022; Debt not meeting the definition of conduit debt will be coded as U debt, conduit debt will not.
(Formerly: Long Term Debt Retired Nonguaranteed - Public Debt for Private Purposes)"
34X,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Retired Nonguaranteed - Other, NEC)"
39U,Long Term Debt Retired - Unspecified Public Purposes (NEW for 2005)
41A,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding - Full Faith & Credit, Water Utilities)"
41B,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding - Full Faith & Credit, Electric Utilities)"
41C,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding - Full Faith & Credit, Gas Utilities)"
41D,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding - Full Faith & Credit, Transit Utilities)"
41F,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding - Full Faith & Credit, Elementary & Secondary Education)"
41G,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding - Full Faith & Credit, Higher Education)"
41X,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding - Full Faith & Credit, Other NEC)"
44A,DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding Nonguaranteed - Water Utilities)
44B,DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding Nonguaranteed - Electric Utilities)
44C,DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding Nonguaranteed - Gas Utilities)
44D,DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding Nonguaranteed - Transit Utilities)
44F,DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding Nonguaranteed - Elementary and Secondary Education)
44G,DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding Nonguaranteed - Higher Education)
44T,"DISCONTINUED as of 2022; Debt not meeting the definition of conduit debt will be coded as U debt, conduit debt will not. (Formerly: Long Term Debt Outstanding Nonguaranteed - Public Debt for Private Purposes)"
44X,"DISCONTINUED as of 2005 (Formerly: Long Term Debt Outstanding Nonguaranteed - Other, NEC)"
49U,Long Term Debt Outstanding - Unspecified Public Purposes (NEW for 2005)
52T,Long Term Debt Refunded - Issued
53T,Long Term Debt Refunded - Retired
61V,Short Term Debt Outstanding - Beginning
64V,Short Term Debt Outstanding - End of Fiscal Year
71W,DISCONTINUED as of 2005 (Formerly: Long Term Debt Offsets - Full Faith & Credit)
74W,DISCONTINUED as of 2005 (Formerly: Long Term Debt Offsets - Nonguaranteed)
